Date,Floor,State,Area,Rooms,Type
17-12-2007,1,Delhi,1798,2,Rent
17-12-2007,1,Gujarat,2011,3,Rent
17-12-2007,0,Orissa,1058,3,Rent
17-12-2007,2,Rajasthan,798,2,Rent
20-05-2008,1,Delhi,1756,3,Rent
20-05-2008,0,Gujarat,1305,1,Rent
20-05-2008,3,Orissa,2169,3,Rent
20-05-2008,0,Rajasthan,615,3,Rent
10/4/2009,0,Gujarat,1929,3,Rent
10/4/2009,1,Orissa,2377,1,Rent
25-05-2009,2,Jammu & Kashmir,1049,1,Rent
25-05-2009,1,Karnataka,916,2,Rent
18-08-2009,0,Delhi,1412,1,Rent
18-08-2009,3,Gujarat,1379,2,Rent
18-08-2009,1,Orissa,1762,3,Rent
18-08-2009,1,Rajasthan,1479,1,Rent
16-11-2009,3,Delhi,2390,3,Rent
16-11-2009,1,Gujarat,2008,1,Rent
16-11-2009,1,Orissa,1630,3,Rent
16-11-2009,3,Rajasthan,1244,2,Rent
20-01-2010,1,A & N Islands,2349,1,Rent
20-01-2010,3,Chhattisgarh,934,2,Rent
20-01-2010,1,Haryana,1026,1,Rent
20-01-2010,1,Meghalaya,824,1,Rent
20-01-2010,1,Tamil Nadu,1105,2,Rent
27-01-2010,2,A & N Islands,1217,3,Rent
27-01-2010,3,A & N Islands,2295,2,Rent
27-01-2010,0,Chhattisgarh,1983,2,Rent
27-01-2010,2,Daman & Diu,2202,1,Rent
27-01-2010,0,Daman & Diu,1278,1,Rent
27-01-2010,3,Delhi,2080,3,Rent
27-01-2010,2,Jammu & Kashmir,882,2,Rent
27-01-2010,1,Jammu & Kashmir,1171,3,Rent
27-01-2010,0,Meghalaya,1241,2,Rent
27-01-2010,3,Rajasthan,1542,3,Rent
1/2/2010,1,Chhattisgarh,1151,1,Rent
1/2/2010,2,Gujarat,628,1,Rent
1/2/2010,2,Meghalaya,2084,3,Rent
1/2/2010,0,Orissa,1234,2,Rent
15-03-2010,3,Delhi,2129,2,Rent
15-03-2010,0,Haryana,2218,1,Rent
15-03-2010,0,Rajasthan,638,2,Rent
15-03-2010,0,Uttarakhand,1742,2,Rent
20-04-2010,1,Delhi,967,1,Rent
20-04-2010,3,Gujarat,1822,1,Rent
20-04-2010,2,Orissa,1205,3,Rent
20-04-2010,3,Rajasthan,629,3,Rent
1/5/2010,3,A & N Islands,1191,3,Rent
1/5/2010,3,A & N Islands,1420,2,Rent
1/5/2010,1,Chhattisgarh,1798,2,Rent
1/5/2010,1,Chhattisgarh,1567,1,Rent
1/5/2010,3,Haryana,1952,3,Rent
1/5/2010,3,Haryana,1927,1,Rent
1/5/2010,2,Meghalaya,940,2,Rent
1/5/2010,3,Meghalaya,993,2,Rent
1/5/2010,3,Tamil Nadu,600,1,Rent
1/5/2010,0,Tamil Nadu,1751,3,Rent
26-05-2010,0,A & N Islands,1803,1,Rent
26-05-2010,0,Daman & Diu,1026,2,Rent
26-05-2010,2,Jammu & Kashmir,1067,3,Rent
11/6/2010,2,Chandigarh,1751,2,Rent
11/6/2010,0,Haryana,1988,1,Rent
11/6/2010,3,Himachal Pradesh,1052,3,Rent
11/6/2010,1,Telangana,2355,1,Rent
11/6/2010,3,Uttarakhand,1860,2,Rent
14-06-2010,2,Chhattisgarh,2345,3,Rent
14-06-2010,3,Chhattisgarh,1500,2,Rent
14-06-2010,0,Gujarat,1212,2,Rent
14-06-2010,0,Gujarat,1647,2,Rent
14-06-2010,3,Meghalaya,656,2,Rent
14-06-2010,0,Meghalaya,1136,1,Rent
14-06-2010,0,Orissa,2196,1,Rent
14-06-2010,3,Orissa,2302,2,Rent
20-07-2010,2,Delhi,1162,3,Rent
20-07-2010,1,Haryana,1358,3,Rent
20-07-2010,0,Rajasthan,1111,2,Rent
20-07-2010,3,Uttarakhand,1896,1,Rent
23-07-2010,0,Chhattisgarh,1112,2,Rent
23-07-2010,1,Chhattisgarh,604,2,Rent
23-07-2010,1,Gujarat,2091,2,Rent
23-07-2010,1,Gujarat,956,2,Rent
23-07-2010,0,Meghalaya,2203,1,Rent
23-07-2010,1,Meghalaya,2135,2,Rent
23-07-2010,0,Orissa,1404,3,Rent
23-07-2010,0,Orissa,2260,1,Rent
28-07-2010,1,A & N Islands,990,1,Rent
28-07-2010,3,Chandigarh,2262,1,Rent
28-07-2010,0,Daman & Diu,1464,2,Rent
28-07-2010,2,Himachal Pradesh,1004,1,Rent
28-07-2010,2,Jammu & Kashmir,2275,3,Rent
28-07-2010,3,Telangana,1902,2,Rent
30-07-2010,0,A & N Islands,695,2,Rent
30-07-2010,2,Haryana,1512,1,Rent
30-07-2010,3,Haryana,1251,1,Rent
30-07-2010,3,Tamil Nadu,2220,3,Rent
30-07-2010,2,Uttarakhand,1734,3,Rent
2/8/2010,3,A & N Islands,760,3,Rent
2/8/2010,3,A & N Islands,1696,1,Rent
2/8/2010,0,Chhattisgarh,1731,2,Rent
2/8/2010,0,Chhattisgarh,1748,1,Rent
2/8/2010,3,Haryana,2020,3,Rent
2/8/2010,1,Haryana,912,2,Rent
2/8/2010,0,Meghalaya,1819,3,Rent
2/8/2010,2,Meghalaya,1246,3,Rent
2/8/2010,3,Tamil Nadu,1850,3,Rent
2/8/2010,3,Tamil Nadu,1894,2,Rent
14-08-2010,2,Chhattisgarh,1062,3,Rent
14-08-2010,3,Chhattisgarh,2212,3,Rent
14-08-2010,2,Gujarat,1272,3,Rent
14-08-2010,1,Gujarat,882,2,Rent
14-08-2010,2,Meghalaya,902,1,Rent
14-08-2010,0,Meghalaya,759,3,Rent
14-08-2010,1,Orissa,1126,3,Rent
14-08-2010,0,Orissa,2214,3,Rent
29-08-2010,0,Delhi,717,3,Rent
29-08-2010,0,Rajasthan,729,3,Rent
2/9/2010,1,Gujarat,2018,1,Rent
2/9/2010,0,Orissa,698,1,Rent
6/10/2010,0,Chhattisgarh,1448,2,Rent
6/10/2010,2,Gujarat,1219,2,Rent
6/10/2010,2,Meghalaya,1104,2,Rent
6/10/2010,3,Orissa,2027,2,Rent
13-10-2010,3,A & N Islands,1087,2,Rent
13-10-2010,3,Chhattisgarh,1738,3,Rent
13-10-2010,2,Chhattisgarh,1427,3,Rent
13-10-2010,0,Gujarat,1389,3,Rent
13-10-2010,3,Haryana,669,1,Rent
13-10-2010,0,Meghalaya,1054,3,Rent
13-10-2010,0,Meghalaya,623,1,Rent
13-10-2010,0,Orissa,2306,3,Rent
13-10-2010,0,Tamil Nadu,1893,1,Rent
24-10-2010,1,A & N Islands,2177,1,Rent
24-10-2010,3,Daman & Diu,2083,3,Rent
24-10-2010,0,Jammu & Kashmir,1033,1,Rent
31-10-2010,0,A & N Islands,1042,1,Rent
31-10-2010,0,Daman & Diu,2151,2,Rent
31-10-2010,1,Jammu & Kashmir,1758,3,Rent
4/11/2010,3,A & N Islands,1892,3,Rent
4/11/2010,3,Chandigarh,1003,1,Rent
4/11/2010,3,Chhattisgarh,908,1,Rent
4/11/2010,3,Haryana,1894,1,Rent
4/11/2010,1,Haryana,2373,3,Rent
4/11/2010,0,Himachal Pradesh,2059,2,Rent
4/11/2010,0,Meghalaya,1459,2,Rent
4/11/2010,3,Tamil Nadu,1411,2,Rent
4/11/2010,1,Telangana,1023,1,Rent
4/11/2010,2,Uttarakhand,1323,2,Rent
22-11-2010,2,A & N Islands,1165,1,Rent
22-11-2010,3,Chhattisgarh,2274,1,Rent
22-11-2010,2,Chhattisgarh,1311,3,Rent
22-11-2010,2,Gujarat,816,2,Rent
22-11-2010,0,Haryana,842,3,Rent
22-11-2010,0,Meghalaya,921,2,Rent
22-11-2010,0,Meghalaya,1764,1,Rent
22-11-2010,1,Orissa,1017,2,Rent
22-11-2010,2,Tamil Nadu,825,3,Rent
26-11-2010,1,A & N Islands,689,1,Rent
