Date,Floor,State,Area,Rooms,Type
17-12-2007,1,Delhi,1201,2,Rent
17-12-2007,1,Gujarat,1379,3,Rent
17-12-2007,1,Orissa,1441,2,Rent
17-12-2007,2,Rajasthan,1567,2,Rent
20-05-2008,3,Delhi,1882,1,Rent
20-05-2008,2,Gujarat,2071,1,Rent
20-05-2008,2,Orissa,797,1,Rent
20-05-2008,2,Rajasthan,791,3,Rent
10/4/2009,2,Gujarat,1761,2,Rent
10/4/2009,3,Orissa,1792,3,Rent
25-05-2009,2,Jammu & Kashmir,1249,2,Rent
25-05-2009,3,Karnataka,1776,1,Rent
18-08-2009,3,Delhi,2094,2,Rent
18-08-2009,1,Gujarat,2341,3,Rent
18-08-2009,0,Orissa,1986,2,Rent
18-08-2009,3,Rajasthan,1364,3,Rent
16-11-2009,3,Delhi,2120,3,Rent
16-11-2009,2,Gujarat,2176,2,Rent
16-11-2009,3,Orissa,1783,2,Rent
16-11-2009,0,Rajasthan,1033,3,Rent
20-01-2010,3,A & N Islands,1488,1,Rent
20-01-2010,0,Chhattisgarh,924,2,Rent
20-01-2010,3,Haryana,2002,2,Rent
20-01-2010,2,Meghalaya,1770,3,Rent
20-01-2010,0,Tamil Nadu,1930,2,Rent
27-01-2010,0,A & N Islands,2303,2,Rent
27-01-2010,0,A & N Islands,2005,2,Rent
27-01-2010,2,Chhattisgarh,745,2,Rent
27-01-2010,3,Daman & Diu,1500,3,Rent
27-01-2010,1,Daman & Diu,1496,3,Rent
27-01-2010,2,Delhi,675,1,Rent
27-01-2010,1,Jammu & Kashmir,1574,3,Rent
27-01-2010,1,Jammu & Kashmir,986,3,Rent
27-01-2010,1,Meghalaya,2305,1,Rent
27-01-2010,2,Rajasthan,1672,3,Rent
1/2/2010,0,Chhattisgarh,1041,1,Rent
1/2/2010,3,Gujarat,866,1,Rent
1/2/2010,0,Meghalaya,1406,2,Rent
1/2/2010,0,Orissa,1335,3,Rent
15-03-2010,3,Delhi,667,3,Rent
15-03-2010,0,Haryana,1500,1,Rent
15-03-2010,1,Rajasthan,735,2,Rent
15-03-2010,3,Uttarakhand,847,1,Rent
20-04-2010,2,Delhi,2127,2,Rent
20-04-2010,0,Gujarat,2049,3,Rent
20-04-2010,1,Orissa,1522,1,Rent
20-04-2010,2,Rajasthan,653,3,Rent
1/5/2010,0,A & N Islands,2297,3,Rent
1/5/2010,2,A & N Islands,1776,1,Rent
1/5/2010,1,Chhattisgarh,2295,1,Rent
1/5/2010,2,Chhattisgarh,2050,3,Rent
1/5/2010,2,Haryana,1518,3,Rent
1/5/2010,0,Haryana,1436,3,Rent
1/5/2010,2,Meghalaya,749,3,Rent
1/5/2010,0,Meghalaya,2153,2,Rent
1/5/2010,1,Tamil Nadu,2148,1,Rent
1/5/2010,1,Tamil Nadu,958,2,Rent
26-05-2010,3,A & N Islands,1270,1,Rent
26-05-2010,2,Daman & Diu,2051,3,Rent
26-05-2010,1,Jammu & Kashmir,2098,3,Rent
11/6/2010,0,Chandigarh,994,3,Rent
11/6/2010,2,Haryana,2274,3,Rent
11/6/2010,3,Himachal Pradesh,1324,2,Rent
11/6/2010,0,Telangana,2381,2,Rent
11/6/2010,0,Uttarakhand,2077,2,Rent
14-06-2010,1,Chhattisgarh,1306,2,Rent
14-06-2010,1,Chhattisgarh,854,2,Rent
14-06-2010,2,Gujarat,930,1,Rent
14-06-2010,1,Gujarat,1255,2,Rent
14-06-2010,2,Meghalaya,1639,3,Rent
14-06-2010,3,Meghalaya,2354,3,Rent
14-06-2010,2,Orissa,1753,2,Rent
14-06-2010,2,Orissa,1222,3,Rent
20-07-2010,2,Delhi,2028,1,Rent
20-07-2010,3,Haryana,729,3,Rent
20-07-2010,1,Rajasthan,1780,1,Rent
20-07-2010,0,Uttarakhand,2110,1,Rent
23-07-2010,1,Chhattisgarh,1552,1,Rent
23-07-2010,2,Chhattisgarh,1675,2,Rent
23-07-2010,3,Gujarat,1958,3,Rent
23-07-2010,2,Gujarat,2180,1,Rent
23-07-2010,3,Meghalaya,2153,1,Rent
23-07-2010,0,Meghalaya,2288,3,Rent
23-07-2010,2,Orissa,2160,3,Rent
23-07-2010,3,Orissa,608,1,Rent
28-07-2010,2,A & N Islands,1651,2,Rent
28-07-2010,3,Chandigarh,1777,2,Rent
28-07-2010,2,Daman & Diu,1653,3,Rent
28-07-2010,3,Himachal Pradesh,1071,2,Rent
28-07-2010,1,Jammu & Kashmir,996,1,Rent
28-07-2010,0,Telangana,1582,1,Rent
30-07-2010,3,A & N Islands,796,1,Rent
30-07-2010,3,Haryana,1265,3,Rent
30-07-2010,2,Haryana,637,2,Rent
30-07-2010,1,Tamil Nadu,686,1,Rent
30-07-2010,1,Uttarakhand,1423,2,Rent
2/8/2010,1,A & N Islands,1475,1,Rent
2/8/2010,1,A & N Islands,2299,3,Rent
2/8/2010,3,Chhattisgarh,660,2,Rent
2/8/2010,2,Chhattisgarh,1491,3,Rent
2/8/2010,0,Haryana,756,3,Rent
2/8/2010,1,Haryana,787,2,Rent
2/8/2010,0,Meghalaya,1388,1,Rent
2/8/2010,2,Meghalaya,1321,2,Rent
2/8/2010,3,Tamil Nadu,976,1,Rent
2/8/2010,0,Tamil Nadu,2339,2,Rent
14-08-2010,3,Chhattisgarh,1335,1,Rent
14-08-2010,1,Chhattisgarh,2150,2,Rent
14-08-2010,2,Gujarat,1224,1,Rent
14-08-2010,3,Gujarat,1071,3,Rent
14-08-2010,1,Meghalaya,2267,2,Rent
14-08-2010,0,Meghalaya,2307,3,Rent
14-08-2010,3,Orissa,2293,3,Rent
14-08-2010,2,Orissa,1054,1,Rent
29-08-2010,1,Delhi,2327,3,Rent
29-08-2010,2,Rajasthan,812,1,Rent
2/9/2010,2,Gujarat,1591,3,Rent
2/9/2010,3,Orissa,1628,2,Rent
6/10/2010,1,Chhattisgarh,2007,2,Rent
6/10/2010,1,Gujarat,2188,3,Rent
6/10/2010,3,Meghalaya,2068,2,Rent
6/10/2010,2,Orissa,1430,1,Rent
13-10-2010,2,A & N Islands,1118,3,Rent
13-10-2010,2,Chhattisgarh,1160,3,Rent
13-10-2010,2,Chhattisgarh,1864,2,Rent
13-10-2010,1,Gujarat,1155,1,Rent
13-10-2010,0,Haryana,1392,2,Rent
13-10-2010,0,Meghalaya,893,3,Rent
13-10-2010,3,Meghalaya,688,1,Rent
13-10-2010,1,Orissa,1590,3,Rent
13-10-2010,2,Tamil Nadu,1423,3,Rent
24-10-2010,2,A & N Islands,1871,3,Rent
24-10-2010,3,Daman & Diu,1430,1,Rent
24-10-2010,2,Jammu & Kashmir,1209,2,Rent
31-10-2010,1,A & N Islands,785,3,Rent
31-10-2010,2,Daman & Diu,1844,3,Rent
31-10-2010,3,Jammu & Kashmir,989,2,Rent
4/11/2010,2,A & N Islands,639,2,Rent
4/11/2010,0,Chandigarh,1922,3,Rent
4/11/2010,3,Chhattisgarh,1908,1,Rent
4/11/2010,3,Haryana,1235,2,Rent
4/11/2010,1,Haryana,894,2,Rent
4/11/2010,2,Himachal Pradesh,1439,3,Rent
4/11/2010,0,Meghalaya,1886,2,Rent
4/11/2010,3,Tamil Nadu,1965,2,Rent
4/11/2010,1,Telangana,845,2,Rent
4/11/2010,2,Uttarakhand,1048,1,Rent
22-11-2010,2,A & N Islands,1197,3,Rent
22-11-2010,1,Chhattisgarh,816,2,Rent
22-11-2010,0,Chhattisgarh,2047,3,Rent
22-11-2010,0,Gujarat,1682,1,Rent
22-11-2010,2,Haryana,1196,1,Rent
22-11-2010,0,Meghalaya,1156,1,Rent
22-11-2010,2,Meghalaya,1017,3,Rent
22-11-2010,2,Orissa,1216,3,Rent
22-11-2010,0,Tamil Nadu,1814,3,Rent
26-11-2010,1,A & N Islands,912,1,Rent
26-11-2010,1,Daman & Diu,805,3,Rent
26-11-2010,3,Jammu & Kashmir,2400,3,Rent
13-12-2010,3,Delhi,1790,3,Rent
13-12-2010,1,Rajasthan,1553,2,Rent
14-12-2010,2,A & N Islands,1496,2,Rent
14-12-2010,3,Chhattisgarh,1790,3,Rent
14-12-2010,0,Haryana,1179,3,Rent
14-12-2010,2,Meghalaya,1251,1,Rent
14-12-2010,0,Tamil Nadu,988,1,Rent
14-02-2011,3,A & N Islands,870,2,Rent
14-02-2011,2,Daman & Diu,1813,3,Rent
14-02-2011,0,Delhi,1418,1,Rent
14-02-2011,2,Jammu & Kashmir,2335,3,Rent
14-02-2011,2,Rajasthan,2267,3,Rent
23-02-2011,1,Chandigarh,1568,2,Rent
23-02-2011,3,Gujarat,1724,1,Rent
23-02-2011,1,Himachal Pradesh,920,2,Rent
23-02-2011,0,Orissa,1063,1,Rent
23-02-2011,3,Telangana,2091,3,Rent
10/3/2011,1,Chhattisgarh,1936,2,Rent
10/3/2011,3,Gujarat,988,2,Rent
10/3/2011,2,Meghalaya,699,2,Rent
10/3/2011,0,Orissa,1002,1,Rent
11/3/2011,3,Gujarat,1706,1,Rent
11/3/2011,0,Orissa,1052,1,Rent
23-04-2011,2,A & N Islands,2101,2,Rent
23-04-2011,2,Chhattisgarh,2296,3,Rent
23-04-2011,0,Haryana,1145,2,Rent
23-04-2011,1,Meghalaya,2400,3,Rent
23-04-2011,2,Tamil Nadu,1017,1,Rent
25-04-2011,1,Jammu & Kashmir,1941,1,Rent
25-04-2011,2,Karnataka,2053,2,Rent
2/5/2011,2,Chhattisgarh,738,2,Rent
2/5/2011,1,Gujarat,1914,2,Rent
2/5/2011,0,Meghalaya,1419,3,Rent
2/5/2011,3,Orissa,1295,2,Rent
14-05-2011,2,A & N Islands,2099,1,Rent
14-05-2011,3,Chandigarh,906,3,Rent
14-05-2011,1,Daman & Diu,2062,2,Rent
14-05-2011,1,Himachal Pradesh,2069,3,Rent
14-05-2011,0,Jammu & Kashmir,1050,2,Rent
14-05-2011,1,Telangana,1982,1,Rent
22-06-2011,1,A & N Islands,1229,3,Rent
22-06-2011,2,Chandigarh,2311,3,Rent
22-06-2011,1,Chhattisgarh,1484,1,Rent
22-06-2011,0,Chhattisgarh,869,3,Rent
22-06-2011,0,Haryana,1367,1,Rent
22-06-2011,3,Himachal Pradesh,1655,3,Rent
22-06-2011,2,Meghalaya,1498,3,Rent
22-06-2011,3,Meghalaya,863,3,Rent
22-06-2011,3,Tamil Nadu,1115,2,Rent
22-06-2011,2,Telangana,1388,1,Rent
10/7/2011,1,A & N Islands,700,3,Rent
10/7/2011,1,A & N Islands,616,2,Rent
10/7/2011,2,Chhattisgarh,2242,1,Rent
10/7/2011,3,Daman & Diu,2396,1,Rent
10/7/2011,1,Daman & Diu,1830,3,Rent
10/7/2011,0,Delhi,633,1,Rent
10/7/2011,0,Jammu & Kashmir,1590,3,Rent
10/7/2011,0,Jammu & Kashmir,2139,3,Rent
10/7/2011,0,Meghalaya,1449,3,Rent
10/7/2011,0,Rajasthan,2042,2,Rent
19-07-2011,0,Delhi,1839,3,Rent
19-07-2011,3,Gujarat,1204,2,Rent
19-07-2011,1,Orissa,2023,3,Rent
19-07-2011,0,Rajasthan,1239,3,Rent
10/8/2011,3,Chandigarh,1497,2,Rent
10/8/2011,2,Himachal Pradesh,2046,2,Rent
10/8/2011,0,Telangana,1866,1,Rent
13-08-2011,3,Delhi,2281,3,Rent
13-08-2011,3,Rajasthan,1646,2,Rent
